sector,ticker
xfj,MFF
xfj,MVW
xfj,LSF
xfj,JHG
xfj,AUB
xfj,MXT
xfj,A200
xfj,WLE
xfj,AUI
xfj,BKI
xfj,GMA
xfj,PPM
xfj,PSI
xfj,HGH
xfj,DUI
xfj,OBL
xfj,RMC
xfj,IEM
xfj,VG1
xfj,HM1
xfj,MHH
xfj,IXJ
xfj,IAA
xfj,AEF
xfj,KKC
xfj,MAF
xfj,MICH
xfj,CIN
xfj,SFY
xfj,IEU
xfj,AFG
xfj,ECX
xfj,DJW
xfj,SLF
xfj,MNY
xfj,WGB
xfj,FGG
xfj,VIF
xfj,PGF
xfj,VGE
xfj,BFG
xfj,VSO
xfj,RF1
xfj,WHF
xfj,VACF
xfj,APL
xfj,MIR
xfj,FGX
xfj,XARO
xfj,MVA
xfj,PL8
xfj,EQT
xfj,HUM
xfj,MYS
xfj,GDX
xfj,PMC
xfj,VGI
xfj,PAI
xfj,IVE
xfj,GCI
xfj,WMI
xfj,IJP
xfj,MAI
xfj,VAE
xfj,VBND
xfj,MOT
xfj,WZR
xfj,AMH
xfj,MHG
xfj,IJR
xfj,OFX
xfj,CVW
xfj,FUEL
xfj,CDM
xfj,WAX
xfj,NGI
xfj,ALI
xfj,EZL
xfj,PIA
xfj,KSL
xfj,TGG
xfj,TWR
xfj,PAC
xfj,WQG
xfj,ABA
xfj,MME
xfj,BBOZ
xfj,FEMX
xfj,OOO
xfj,MOC
xfj,QVE
xfj,CVC
xfj,COG
xfj,FID
xfj,PLT
xfj,VEQ
xfj,VCF
xfj,IJH
xfj,GVF
xfj,MVE
xfj,BTI
xfj,WMA
xfj,BBUS
xfj,FOR
xfj,MVB
xfj,OPY
xfj,EP1
xfj,PCG
xfj,EAI
xfj,WIC
xfj,GDG
xfj,CCV
xfj,HMY
xfj,NSC
xfj,PGL
xfj,MVR
xfj,SEC
xfj,TOT
xfj,ISO
xfj,RZI
xfj,IZZ
xfj,FSA
xfj,IXI
xfj,CAM
xfj,RYD
xfj,GDC
xfj,GOW
xfj,EPY
xfj,ACQ
xfj,SELF
xfj,CD3
xfj,SNC
xfj,SWF
xfj,IKO
xfj,SOR
xfj,MAM
xfj,AEG
xfj,MVS
xfj,OZG
xfj,BBC
xfj,MOGL
xfj,MAET
xfj,CD2
xfj,CIE
xfj,WAA
xfj,FFG
xfj,WRL
xfj,NCC
xfj,8IH
xfj,LSX
xfj,CWZ
xfj,TIP
xfj,AVC
xfj,SEQ
xfj,HJPN
xfj,MEC
xfj,IBC
xfj,FSI
xfj,FPC
xfj,BEAR
xfj,PAF
xfj,QFE
xfj,INES
xfj,EST
xfj,NAC
xfj,CD1
xfj,EDC
xfj,AFA
xfj,CGA
xfj,LRT
xfj,MKAX
xfj,BWF
xfj,EAS
xfj,CIW
xfj,CAF
xfj,ASW
xfj,NSX
xfj,GC1
xfj,PYR
xfj,KAT
xfj,PNC
xfj,AIQ
xfj,SSO
xfj,YBR
xfj,ECP
xfj,INV
xfj,GFL
xfj,NGE
xfj,CLH
xfj,FPP
xfj,DCL
xfj,TCF
xfj,KAM
xfj,MPR
xfj,PFG
xfj,BTC
xfj,AYI
xfj,IQ3
xfj,IMPQ
xfj,ENA
xfj,KBC
xfj,FEI
xfj,QSML
xfj,LCE
xfj,AIY
xfj,KSM
xfj,FNX
xfj,WTL
xfj,PHL
xfj,PVL
xfj,BHD
xfj,BEL
xfj,MAX
xfj,IPC
xfj,SVS
xfj,OEQ
xfj,N1H
xfj,ARC
xfj,HHY
xfj,EXO
xfj,MCX
xfj,BIR
xfj,8EC
xfj,QUE
xfj,AIB
xfj,LAW
xfj,ATB
xfj,AYU
xfj,BFL
xfj,BPB
xfj,CCB
xfj,CFF
xfj,DXA
xfj,GOL
xfj,HCS
xfj,HEU
xfj,IAN
xfj,IHC
xfj,IHW
xfj,IWL
xfj,QMI
xfj,SB2
xfj,VEL
xfj,WAR
xij,APT
xij,XRO
xij,WTC
xij,CPU
xij,NXT
xij,ALU
xij,CDA
xij,TNE
xij,LNK
xij,MP1
xij,IRE
xij,TYR
xij,DDR
xij,PPH
xij,APX
xij,OCL
xij,EML
xij,HSN
xij,FCL
xij,ISX
xij,360
xij,SZL
xij,BVS
xij,BRN
xij,NEA
xij,NVX
xij,NXL
xij,DTL
xij,DUB
xij,SKO
xij,NTO
xij,AD8
xij,IFM
xij,PPS
xij,VGL
xij,CAT
xij,ERD
xij,ELO
xij,BTH
xij,RUL
xij,IRI
xij,3DP
xij,WSP
xij,RHP
xij,SPT
xij,OTW
xij,TNT
xij,WBT
xij,FZO
xij,RDY
xij,4DS
xij,CL1
xij,GTK
xij,SMP
xij,LME
xij,NOV
xij,JAN
xij,DTC
xij,AHI
xij,EOL
xij,CRO
xij,SLX
xij,HTG
xij,PVS
xij,WJA
xij,YOJ
xij,LVT
xij,RDF
xij,EPD
xij,DTZ
xij,IXU
xij,DUG
xij,IKE
xij,LBY
xij,LVH
xij,EVS
xij,PX1
xij,AND
xij,DSE
xij,CCR
xij,AVA
xij,BID
xij,RKN
xij,UBN
xij,COS
xij,ESK
xij,IOD
xij,RCW
xij,NET
xij,99L
xij,SNS
xij,WCG
